"start";"end";"Entry Title";"Date & Time of observation";"Location of observation";"_Location of observation_latitude";"_Location of observation_longitude";"_Location of observation_altitude";"_Location of observation_precision";"Overview Photo";"Overview Photo_URL";"Close-Up Photo";"Close-Up Photo_URL";"Material Type";"Material Type - Other";"Component Type";"Component Type - Other";"Approximate Quantity";"Approximate Size";"Condition/Intact / reusable as found";"Condition/Usable with cleaning";"Condition/Usable with repair";"Condition/Damaged but useful";"Condition/Broken fragments only";"Condition/Contaminated / dirty";"Condition/Unsafe / hazardous";"Possible reuse idea";"Additional notes";"_id";"_uuid";"_submission_time";"_validation_status";"_status";"_submitted_by";"__version__";"meta/rootUuid";"_index"
"2026-07-02T14:52:44.773+09:00";"2026-07-02T14:53:45.037+09:00";"test";"2026-07-02T14:52:00+09:00";"37.556695 126.906352 31.5959606170654 100";"37.556695";"126.906352";"31.5959606170654";"100";"2026-07-0214.52.594791302078515599475-14_53_9.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/799436291/attachments/attza9fHAFN9CAuyWCLntK2U/";"2026-07-0214.53.111249886499533534091-14_53_17.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/799436291/attachments/atthtrhKVaK9VYxYW8D9nctp/";"Ceramic / Tile / Brick";"";"Container / box / crate";"";"2-5 items";"Small (fits in one hand)";"0";"1";"1";"0";"0";"0";"0";"roof";"nothinf";"799436291";"099f2d4a-ce12-47dd-9c6c-8b5c6c196be4";"2026-07-02T05:53:47";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:099f2d4a-ce12-47dd-9c6c-8b5c6c196be4";"1"
"2026-07-02T15:02:01.981+09:00";"2026-07-02T15:05:47.617+09:00";"Test";"2026-07-02T15:05:00+09:00";"37.556639 126.906364 22.905915342829 9.268041022271161";"37.556639";"126.906364";"22.905915342829";"9.268041022271161";"image-15_5_18.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/799445808/attachments/att9caFwvqamqczperDJmFq6/";"image-15_5_25.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/799445808/attachments/attowzU9ZWz5ayyDsTnVxvsJ/";"Paper / Cardboard";"";"Profile / beam / bar";"";"2-5 items";"Small (fits in one hand)";"0";"0";"0";"1";"0";"0";"0";"";"";"799445808";"f54d8e20-e715-49f9-b01b-acdbe6a1b3f2";"2026-07-02T06:05:54";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:f54d8e20-e715-49f9-b01b-acdbe6a1b3f2";"2"
"2026-07-03T22:13:39.417+09:00";"2026-07-03T22:22:49.845+09:00";"shopping cart";"2026-07-03T22:14:00+09:00";"37.557652 127.137314 21.912169353105128 13.062473935303961";"37.557652";"127.137314";"21.912169353105128";"13.062473935303961";"IMG_4094-22_15_29.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801161684/attachments/attYGrt8HE2npYSfGUgRSe64/";"IMG_4100-22_20_55.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801161684/attachments/attPgQpXUGt82Px3DhTCS6z7/";"Metal";"";"Other";"Mobile object";"2-5 items";"Medium (can be carried by one person)";"1";"0";"0";"0";"0";"0";"0";"movable fence";"";"801161684";"d6e49d02-47fb-48cc-bc94-22ed180a60e8";"2026-07-03T13:23:19";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:d6e49d02-47fb-48cc-bc94-22ed180a60e8";"3"
"2026-07-03T22:22:49.870+09:00";"2026-07-03T22:26:37.411+09:00";"steel pipe";"2026-07-03T22:24:00+09:00";"37.557672 127.137341 21.708870351314545 8.431786404451165";"37.557672";"127.137341";"21.708870351314545";"8.431786404451165";"IMG_4101-22_25_2.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801167518/attachments/attJwLvy5VdErgpv3kBbeEDy/";"IMG_4102-22_25_7.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801167518/attachments/att5rX6vP6WXwJHYGZbycK4p/";"Metal";"";"Tube / pipe";"";"Pile / bulk material";"Large (needs two people)";"0";"1";"0";"0";"0";"0";"0";"";"Presumably debris left after the demolition of a plastic greenhouse.";"801167518";"542845af-152b-44ac-ab66-ba3a13443a60";"2026-07-03T13:26:40";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:542845af-152b-44ac-ab66-ba3a13443a60";"4"
"2026-07-03T22:26:37.435+09:00";"2026-07-03T22:37:44.710+09:00";"rotatable bulletin board";"2026-07-03T22:35:00+09:00";"37.554756 127.137593 33.462457060096945 16.254046268122227";"37.554756";"127.137593";"33.462457060096945";"16.254046268122227";"IMG_4103-22_35_43.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801187164/attachments/attmHiRsEEGMfsM4qFdxExUm/";"IMG_4104-22_35_49.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801187164/attachments/attipSGxjX7VpUBv2sKvpAUk/";"Metal";"";"Sheet / panel";"";"Single item";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"solar collector";"";"801187164";"dccbe9ce-7681-4325-92cd-77f2e8227ff3";"2026-07-03T13:37:47";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:dccbe9ce-7681-4325-92cd-77f2e8227ff3";"5"
"2026-07-04T08:32:21.151+09:00";"2026-07-04T08:55:29.596+09:00";"vacuum cleaner";"2026-07-03T22:06:00+09:00";"37.580051 126.933908 0 0";"37.580051";"126.933908";"0";"0";"20260703_220433-8_42_24.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801773970/attachments/attPEgC8EDm2bJ3SkVWHtZES/";"20260703_220558-8_42_34.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801773970/attachments/attc9WDuX2TA7yFWPXvVpzUo/";"Electronic / Appliance";"";"Electronic device/component";"";"2-5 items";"Medium (can be carried by one person)";"1";"1";"0";"0";"0";"0";"0";"The linear metallic tube can be programmatically disassembled and integrated into a digital assembly.";"신촌동주민센터";"801773970";"42979992-f77a-441b-a1c3-6925d589394c";"2026-07-03T23:55:32";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:42979992-f77a-441b-a1c3-6925d589394c";"6"
"2026-07-04T11:13:50.727+09:00";"2026-07-04T11:15:45.066+09:00";"Empty bottle";"2026-07-04T11:14:00+09:00";"37.560984 126.936562 45.307672255331134 11.002442566376732";"37.560984";"126.936562";"45.307672255331134";"11.002442566376732";"image-11_14_32.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801792374/attachments/attnha4aWnPvFsi6BaBEAVJk/";"image-11_14_49.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801792374/attachments/attDyiqUuwF4RDFMvHADC443/";"Plastic";"";"Tube / pipe";"";"Single item";"Small (fits in one hand)";"0";"1";"0";"0";"0";"0";"0";"Joints";"";"801792374";"cc768261-51c9-4ef3-b64c-69c3cecec5bc";"2026-07-04T02:15:46";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:cc768261-51c9-4ef3-b64c-69c3cecec5bc";"7"
"2026-07-04T15:47:40.289+09:00";"2026-07-04T15:49:36.516+09:00";"Fabric";"2026-07-04T15:47:00+09:00";"37.56111 127.061006 23.882347787730396 14.245954590575854";"37.56111";"127.061006";"23.882347787730396";"14.245954590575854";"image-15_48_4.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801865023/attachments/att68aZFZTcNh9MVjhLfV63v/";"image-15_48_12.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801865023/attachments/attcQDCwJZ5FHMS8rtxoqtsp/";"Textile";"";"Fabric / flexible sheet";"";"2-5 items";"Large (needs two people)";"0";"0";"0";"0";"0";"1";"0";"";"";"801865023";"79130de7-da6c-4276-b520-6d9f1e2de0dc";"2026-07-04T06:52:27";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:79130de7-da6c-4276-b520-6d9f1e2de0dc";"8"
"2026-07-04T15:49:36.559+09:00";"2026-07-04T16:05:49.150+09:00";"Plastic";"2026-07-04T16:04:00+09:00";"37.561086 127.066757 51.91101423833888 6.78838369424054";"37.561086";"127.066757";"51.91101423833888";"6.78838369424054";"image-16_4_55.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801871182/attachments/attq9eB2Wp5dYAgbrboCSP8j/";"image-16_5_6.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801871182/attachments/attGADvgYraNwnx7wDJ7fRxE/";"Plastic";"";"Bottle / can / vessel";"";"Pile / bulk material";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"";"";"801871182";"b272e58f-5100-4bdb-8c9f-d53e65f37cfe";"2026-07-04T07:05:54";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:b272e58f-5100-4bdb-8c9f-d53e65f37cfe";"9"
"2026-07-04T11:13:50.410+09:00";"2026-07-04T16:15:11.988+09:00";"Cardboard";"2026-07-04T11:14:00+09:00";"37.596122 127.060743 45.97796251811087 22.438618100792464";"37.596122";"127.060743";"45.97796251811087";"22.438618100792464";"image-16_13_0.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801875393/attachments/attPWkBBM5tyuBMvkZ5bAjVi/";"image-16_13_10.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801875393/attachments/attUcKpM9NAVKcQykDrXsjkp/";"Paper / Cardboard";"";"Container / box / crate";"";"2-5 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"";"";"801875393";"c0a1e316-230d-42e6-8620-494526af016f";"2026-07-04T07:15:14";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:c0a1e316-230d-42e6-8620-494526af016f";"10"
"2026-07-04T16:05:49.189+09:00";"2026-07-04T17:12:15.816+09:00";"Wood";"2026-07-04T17:11:00+09:00";"37.54486 127.088458 33.38301001052544 21.707657459788788";"37.54486";"127.088458";"33.38301001052544";"21.707657459788788";"image-17_11_38.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801902860/attachments/attVjS4hnqnwp2MGhftNeDPY/";"image-17_11_46.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801902860/attachments/attZDdhBQhQVBJa5tabe3mF9/";"Wood";"";"Board / plank";"";"2-5 items";"Large (needs two people)";"0";"0";"0";"1";"0";"0";"0";"";"";"801902860";"af704da2-a98f-414c-a71a-7568fe18b66c";"2026-07-04T08:12:18";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:af704da2-a98f-414c-a71a-7568fe18b66c";"11"
"2026-07-04T17:12:15.860+09:00";"2026-07-04T17:18:11.814+09:00";"Wood Stuff";"2026-07-04T17:17:00+09:00";"37.544936 127.084785 30.56 26.45436389546944";"37.544936";"127.084785";"30.56";"26.45436389546944";"image-17_16_45.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801905786/attachments/attyc7TnqVspe8eTGUWAx4Lj/";"image-17_16_56.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801905786/attachments/attNqwqEPhM9aVfRLmBc7GnR/";"Wood";"";"Board / plank";"";"2-5 items";"Large (needs two people)";"0";"0";"0";"1";"0";"0";"0";"";"";"801905786";"9486cd5b-ce3b-465e-be3f-28370b1659a4";"2026-07-04T08:18:18";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:9486cd5b-ce3b-465e-be3f-28370b1659a4";"12"
"2026-07-04T17:18:11.854+09:00";"2026-07-04T17:27:58.033+09:00";"Fabric drawer";"2026-07-04T17:27:00+09:00";"37.546616 127.075649 27.988345374746345 7.3395082706464825";"37.546616";"127.075649";"27.988345374746345";"7.3395082706464825";"image-17_27_19.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801912039/attachments/attAbmWBkcftfHPdu8xtDSBo/";"image-17_27_28.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801912039/attachments/attv88y24abPg8RWzwcdiM79/";"Composite / Mixed";"";"Fabric / flexible sheet";"";"2-5 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"";"";"801912039";"daadd48c-2608-4235-9c08-45c26fa93192";"2026-07-04T08:28:01";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:daadd48c-2608-4235-9c08-45c26fa93192";"13"
"2026-07-04T17:27:58.070+09:00";"2026-07-04T17:31:06.478+09:00";"Glass";"2026-07-04T17:29:00+09:00";"37.546774 127.074545 24.946195110678673 6.099028466739737";"37.546774";"127.074545";"24.946195110678673";"6.099028466739737";"image-17_29_37.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801913931/attachments/attydfhhhMMj2VbPNCfuovKB/";"image-17_29_45.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801913931/attachments/attPy9aWhjehnJd8LuMbGmgZ/";"Glass";"";"Bottle / can / vessel";"";"6-20 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"Break it into pieces and use it as an auditory or visual element";"";"801913931";"4acfc042-9cc9-4844-93e4-527b4da25f33";"2026-07-04T08:31:09";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:4acfc042-9cc9-4844-93e4-527b4da25f33";"14"
"2026-07-04T17:31:06.512+09:00";"2026-07-04T17:34:15.330+09:00";"Foam";"2026-07-04T17:33:00+09:00";"37.545895 127.073638 39.008356618123926 13.808358402578529";"37.545895";"127.073638";"39.008356618123926";"13.808358402578529";"image-17_33_46.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801916169/attachments/attGDQPTrL2NzffQ8b3ehxwi/";"image-17_33_55.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801916169/attachments/attQb8rRNmPfyNmKT5tMPBpf/";"Foam / Insulation";"";"Container / box / crate";"";"2-5 items";"Medium (can be carried by one person)";"1";"0";"0";"0";"0";"0";"0";"";"";"801916169";"b9cf0ddb-a3cf-4438-9c5e-3eea58971b21";"2026-07-04T08:34:36";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:b9cf0ddb-a3cf-4438-9c5e-3eea58971b21";"15"
"2026-07-04T17:34:15.368+09:00";"2026-07-04T17:36:38.928+09:00";"Box";"2026-07-04T17:35:00+09:00";"37.545226 127.073216 58.44599876087159 8.93880273846815";"37.545226";"127.073216";"58.44599876087159";"8.93880273846815";"image-17_35_22.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801917606/attachments/attZemvadsTrZAapMF2jwtBC/";"image-17_35_56.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801917606/attachments/atto44JKzRscLZoo3eLxY6U6/";"Paper / Cardboard";"";"Container / box / crate";"";"6-20 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"";"";"801917606";"80464b69-4e11-42ad-80aa-d7231b48fe0f";"2026-07-04T08:36:41";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:80464b69-4e11-42ad-80aa-d7231b48fe0f";"16"
"2026-07-04T17:36:38.964+09:00";"2026-07-04T17:39:52.707+09:00";"Plastic";"2026-07-04T17:39:00+09:00";"37.5449 127.071051 33.32682939536533 56.08114113058051";"37.5449";"127.071051";"33.32682939536533";"56.08114113058051";"image-17_39_32.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801919823/attachments/attQreGQW8A7jL9dHoYcpGCY/";"image-17_39_38.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801919823/attachments/attuiNQfZz6CF5Mcn97narXY/";"Plastic";"";"Bottle / can / vessel";"";"2-5 items";"Large (needs two people)";"1";"0";"0";"0";"0";"0";"0";"";"";"801919823";"623a9d99-1a60-4e4c-bc0a-e640539895b7";"2026-07-04T08:39:56";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:623a9d99-1a60-4e4c-bc0a-e640539895b7";"17"
"2026-07-04T17:38:27.756+09:00";"2026-07-04T17:44:05.372+09:00";"Wooden Pallet";"2026-07-04T17:38:00+09:00";"37.620988 127.074475 21.691773132522783 39.76464378440594";"37.620988";"127.074475";"21.691773132522783";"39.76464378440594";"IMG_0923-17_40_54.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801922765/attachments/attjY86XdioXqYKpRXtzTTZg/";"image-17_42_37.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801922765/attachments/attd9tZWiuMqEVD4ttoTMtjc/";"Wood";"";"Frame";"";"Single item";"Large (needs two people)";"0";"1";"0";"1";"0";"1";"0";"assembly, furniture, structure";"broken";"801922765";"2e4bf079-94dc-4cf0-a654-58b40296f14b";"2026-07-04T08:44:09";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:2e4bf079-94dc-4cf0-a654-58b40296f14b";"18"
"2026-07-04T17:39:52.745+09:00";"2026-07-04T17:45:34.270+09:00";"Foam";"2026-07-04T17:45:00+09:00";"37.542761 127.064309 39.633733081169986 16.857270477940723";"37.542761";"127.064309";"39.633733081169986";"16.857270477940723";"image-17_44_50.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801923753/attachments/attdcfCf2Qiu8FWVXVh9eP9B/";"image-17_44_59.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801923753/attachments/atthhC8QMtw7zLEa6Xcx8ic2/";"Foam / Insulation";"";"Container / box / crate";"";"6-20 items";"Large (needs two people)";"0";"1";"0";"0";"0";"0";"0";"";"";"801923753";"715cef57-5084-41eb-b801-e06a18c8223f";"2026-07-04T08:45:38";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:715cef57-5084-41eb-b801-e06a18c8223f";"19"
